Gün,Mağaza,Lokasyon,Kod,SatıcıÜrünAdı,ANAGRUP,ALTGRUP,URUNCESIDI,SatışMiktarı
21-5-2016,Magaza_1,Beylikdüzü,31001045,L,anagrup1,alt-grup-2,cesit-2,5
21-5-2016,Magaza_1,Beylikdüzü,31000368,E,anagrup1,alt-grup-4,cesit-3,6
22-5-2016,Magaza_1,Beylikdüzü,35000212,K,anagrup,alt-grup-1,cesit-1,4
22-5-2016,Magaza_1,Beylikdüzü,31001045,L,anagrup1,alt-grup-2,cesit-2,7
22-5-2016,Magaza_1,Beylikdüzü,31000368,E,anagrup1,alt-grup-4,cesit-3,7
23-5-2016,Magaza_1,Beylikdüzü,31001045,L,anagrup1,alt-grup-2,cesit-2,5
23-5-2016,Magaza_1,Beylikdüzü,35000313,M,anagrup1,alt-grup-3,cesit-2,1
24-5-2016,Magaza_1,Beylikdüzü,31001045,L,anagrup1,alt-grup-2,cesit-2,6
24-5-2016,Magaza_1,Beylikdüzü,31000368,E,anagrup1,alt-grup-4,cesit-3,2
24-5-2016,Magaza_1,Beylikdüzü,35000313,M,anagrup1,alt-grup-3,cesit-2,2
25-5-2016,Magaza_1,Beylikdüzü,35000212,K,anagrup,alt-grup-1,cesit-1,1
25-5-2016,Magaza_1,Beylikdüzü,31001045,L,anagrup1,alt-grup-2,cesit-2,7
25-5-2016,Magaza_1,Beylikdüzü,31000368,E,anagrup1,alt-grup-4,cesit-3,4
26-5-2016,Magaza_1,Beylikdüzü,31001045,L,anagrup1,alt-grup-2,cesit-2,4
26-5-2016,Magaza_1,Beylikdüzü,31000368,E,anagrup1,alt-grup-4,cesit-3,5
27-5-2016,Magaza_1,Beylikdüzü,35000212,K,anagrup,alt-grup-1,cesit-1,6
27-5-2016,Magaza_1,Beylikdüzü,31001045,L,anagrup1,alt-grup-2,cesit-2,5
28-5-2016,Magaza_1,Beylikdüzü,35000212,K,anagrup,alt-grup-1,cesit-1,1
28-5-2016,Magaza_1,Beylikdüzü,31001045,L,anagrup1,alt-grup-2,cesit-2,9
28-5-2016,Magaza_1,Beylikdüzü,31000368,E,anagrup1,alt-grup-4,cesit-3,5
28-5-2016,Magaza_1,Beylikdüzü,35000313,M,anagrup1,alt-grup-3,cesit-2,3
29-5-2016,Magaza_1,Beylikdüzü,35000212,K,anagrup,alt-grup-1,cesit-1,3
29-5-2016,Magaza_1,Beylikdüzü,31001045,L,anagrup1,alt-grup-2,cesit-2,11
29-5-2016,Magaza_1,Beylikdüzü,31000368,E,anagrup1,alt-grup-4,cesit-3,6
29-5-2016,Magaza_1,Beylikdüzü,35000313,M,anagrup1,alt-grup-3,cesit-2,1
30-5-2016,Magaza_1,Beylikdüzü,31001045,L,anagrup1,alt-grup-2,cesit-2,6
30-5-2016,Magaza_1,Beylikdüzü,35000313,M,anagrup1,alt-grup-3,cesit-2,1
31-5-2016,Magaza_1,Beylikdüzü,31001045,L,anagrup1,alt-grup-2,cesit-2,6
31-5-2016,Magaza_1,Beylikdüzü,31000368,E,anagrup1,alt-grup-4,cesit-3,2
31-5-2016,Magaza_1,Beylikdüzü,35000313,M,anagrup1,alt-grup-3,cesit-2,1
1-6-2016,Magaza_1,Beylikdüzü,31001045,L,anagrup1,alt-grup-2,cesit-2,2
1-6-2016,Magaza_1,Beylikdüzü,35000313,M,anagrup1,alt-grup-3,cesit-2,1
2-6-2016,Magaza_1,Beylikdüzü,35000212,K,anagrup,alt-grup-1,cesit-1,2
2-6-2016,Magaza_1,Beylikdüzü,31001045,L,anagrup1,alt-grup-2,cesit-2,4
2-6-2016,Magaza_1,Beylikdüzü,31000368,E,anagrup1,alt-grup-4,cesit-3,1
3-6-2016,Magaza_1,Beylikdüzü,31001045,L,anagrup1,alt-grup-2,cesit-2,4
3-6-2016,Magaza_1,Beylikdüzü,31000368,E,anagrup1,alt-grup-4,cesit-3,5
4-6-2016,Magaza_1,Beylikdüzü,35000212,K,anagrup,alt-grup-1,cesit-1,2
4-6-2016,Magaza_1,Beylikdüzü,31001045,L,anagrup1,alt-grup-2,cesit-2,8
4-6-2016,Magaza_1,Beylikdüzü,31000368,E,anagrup1,alt-grup-4,cesit-3,2
4-6-2016,Magaza_1,Beylikdüzü,35000313,M,anagrup1,alt-grup-3,cesit-2,1
5-6-2016,Magaza_1,Beylikdüzü,35000212,K,anagrup,alt-grup-1,cesit-1,3
5-6-2016,Magaza_1,Beylikdüzü,31001045,L,anagrup1,alt-grup-2,cesit-2,11
5-6-2016,Magaza_1,Beylikdüzü,31000368,E,anagrup1,alt-grup-4,cesit-3,1
5-6-2016,Magaza_1,Beylikdüzü,35000313,M,anagrup1,alt-grup-3,cesit-2,1
6-6-2016,Magaza_1,Beylikdüzü,35000212,K,anagrup,alt-grup-1,cesit-1,1
6-6-2016,Magaza_1,Beylikdüzü,31001045,L,anagrup1,alt-grup-2,cesit-2,3
6-6-2016,Magaza_1,Beylikdüzü,31000368,E,anagrup1,alt-grup-4,cesit-3,2
6-6-2016,Magaza_1,Beylikdüzü,35000313,M,anagrup1,alt-grup-3,cesit-2,1
7-6-2016,Magaza_1,Beylikdüzü,31001045,L,anagrup1,alt-grup-2,cesit-2,7
7-6-2016,Magaza_1,Beylikdüzü,31000368,E,anagrup1,alt-grup-4,cesit-3,5
8-6-2016,Magaza_1,Beylikdüzü,35000212,K,anagrup,alt-grup-1,cesit-1,3
8-6-2016,Magaza_1,Beylikdüzü,31001045,L,anagrup1,alt-grup-2,cesit-2,2
8-6-2016,Magaza_1,Beylikdüzü,31000368,E,anagrup1,alt-grup-4,cesit-3,1
9-6-2016,Magaza_1,Beylikdüzü,35000212,K,anagrup,alt-grup-1,cesit-1,3
9-6-2016,Magaza_1,Beylikdüzü,31001045,L,anagrup1,alt-grup-2,cesit-2,2
9-6-2016,Magaza_1,Beylikdüzü,31000368,E,anagrup1,alt-grup-4,cesit-3,1
10-6-2016,Magaza_1,Beylikdüzü,35000212,K,anagrup,alt-grup-1,cesit-1,4
10-6-2016,Magaza_1,Beylikdüzü,31001045,L,anagrup1,alt-grup-2,cesit-2,2
10-6-2016,Magaza_1,Beylikdüzü,31000368,E,anagrup1,alt-grup-4,cesit-3,5
10-6-2016,Magaza_1,Beylikdüzü,35000313,M,anagrup1,alt-grup-3,cesit-2,2
11-6-2016,Magaza_1,Beylikdüzü,35000212,K,anagrup,alt-grup-1,cesit-1,2
11-6-2016,Magaza_1,Beylikdüzü,31001045,L,anagrup1,alt-grup-2,cesit-2,4
11-6-2016,Magaza_1,Beylikdüzü,31000368,E,anagrup1,alt-grup-4,cesit-3,4
11-6-2016,Magaza_1,Beylikdüzü,35000313,M,anagrup1,alt-grup-3,cesit-2,2
12-6-2016,Magaza_1,Beylikdüzü,35000212,K,anagrup,alt-grup-1,cesit-1,3
12-6-2016,Magaza_1,Beylikdüzü,31001045,L,anagrup1,alt-grup-2,cesit-2,10
12-6-2016,Magaza_1,Beylikdüzü,31000368,E,anagrup1,alt-grup-4,cesit-3,2
12-6-2016,Magaza_1,Beylikdüzü,35000313,M,anagrup1,alt-grup-3,cesit-2,1
13-6-2016,Magaza_1,Beylikdüzü,35000212,K,anagrup,alt-grup-1,cesit-1,4
13-6-2016,Magaza_1,Beylikdüzü,31001045,L,anagrup1,alt-grup-2,cesit-2,3
13-6-2016,Magaza_1,Beylikdüzü,31000368,E,anagrup1,alt-grup-4,cesit-3,4
14-6-2016,Magaza_1,Beylikdüzü,31001045,L,anagrup1,alt-grup-2,cesit-2,3
14-6-2016,Magaza_1,Beylikdüzü,31000368,E,anagrup1,alt-grup-4,cesit-3,3
14-6-2016,Magaza_1,Beylikdüzü,35000313,M,anagrup1,alt-grup-3,cesit-2,2
15-6-2016,Magaza_1,Beylikdüzü,31001045,L,anagrup1,alt-grup-2,cesit-2,1
15-6-2016,Magaza_1,Beylikdüzü,31000368,E,anagrup1,alt-grup-4,cesit-3,3
15-6-2016,Magaza_1,Beylikdüzü,35000313,M,anagrup1,alt-grup-3,cesit-2,1
16-6-2016,Magaza_1,Beylikdüzü,31001045,L,anagrup1,alt-grup-2,cesit-2,4
16-6-2016,Magaza_1,Beylikdüzü,35000313,M,anagrup1,alt-grup-3,cesit-2,1
17-6-2016,Magaza_1,Beylikdüzü,31001045,L,anagrup1,alt-grup-2,cesit-2,4
17-6-2016,Magaza_1,Beylikdüzü,31000368,E,anagrup1,alt-grup-4,cesit-3,1
18-6-2016,Magaza_1,Beylikdüzü,35000212,K,anagrup,alt-grup-1,cesit-1,1
18-6-2016,Magaza_1,Beylikdüzü,31001045,L,anagrup1,alt-grup-2,cesit-2,3
18-6-2016,Magaza_1,Beylikdüzü,31000368,E,anagrup1,alt-grup-4,cesit-3,2
18-6-2016,Magaza_1,Beylikdüzü,35000313,M,anagrup1,alt-grup-3,cesit-2,4
19-6-2016,Magaza_1,Beylikdüzü,35000212,K,anagrup,alt-grup-1,cesit-1,1
19-6-2016,Magaza_1,Beylikdüzü,31001045,L,anagrup1,alt-grup-2,cesit-2,2
19-6-2016,Magaza_1,Beylikdüzü,31000368,E,anagrup1,alt-grup-4,cesit-3,6
19-6-2016,Magaza_1,Beylikdüzü,35000313,M,anagrup1,alt-grup-3,cesit-2,1
20-6-2016,Magaza_1,Beylikdüzü,35000212,K,anagrup,alt-grup-1,cesit-1,1
20-6-2016,Magaza_1,Beylikdüzü,31001045,L,anagrup1,alt-grup-2,cesit-2,7
20-6-2016,Magaza_1,Beylikdüzü,31000368,E,anagrup1,alt-grup-4,cesit-3,1
20-6-2016,Magaza_1,Beylikdüzü,35000313,M,anagrup1,alt-grup-3,cesit-2,3
21-6-2016,Magaza_1,Beylikdüzü,31001045,L,anagrup1,alt-grup-2,cesit-2,8
21-6-2016,Magaza_1,Beylikdüzü,35000313,M,anagrup1,alt-grup-3,cesit-2,4
22-6-2016,Magaza_1,Beylikdüzü,35000212,K,anagrup,alt-grup-1,cesit-1,4
22-6-2016,Magaza_1,Beylikdüzü,31001045,L,anagrup1,alt-grup-2,cesit-2,3
22-6-2016,Magaza_1,Beylikdüzü,31000368,E,anagrup1,alt-grup-4,cesit-3,3
22-6-2016,Magaza_1,Beylikdüzü,35000313,M,anagrup1,alt-grup-3,cesit-2,1
23-6-2016,Magaza_1,Beylikdüzü,35000212,K,anagrup,alt-grup-1,cesit-1,1
23-6-2016,Magaza_1,Beylikdüzü,31001045,L,anagrup1,alt-grup-2,cesit-2,1
23-6-2016,Magaza_1,Beylikdüzü,31000368,E,anagrup1,alt-grup-4,cesit-3,1
23-6-2016,Magaza_1,Beylikdüzü,35000313,M,anagrup1,alt-grup-3,cesit-2,1
24-6-2016,Magaza_1,Beylikdüzü,35000212,K,anagrup,alt-grup-1,cesit-1,2
24-6-2016,Magaza_1,Beylikdüzü,31000368,E,anagrup1,alt-grup-4,cesit-3,2
24-6-2016,Magaza_1,Beylikdüzü,35000313,M,anagrup1,alt-grup-3,cesit-2,2
25-6-2016,Magaza_1,Beylikdüzü,35000313,M,anagrup1,alt-grup-3,cesit-2,2
26-6-2016,Magaza_1,Beylikdüzü,35000212,K,anagrup,alt-grup-1,cesit-1,1
26-6-2016,Magaza_1,Beylikdüzü,35000313,M,anagrup1,alt-grup-3,cesit-2,6
27-6-2016,Magaza_1,Beylikdüzü,31001045,L,anagrup1,alt-grup-2,cesit-2,8
27-6-2016,Magaza_1,Beylikdüzü,31000368,E,anagrup1,alt-grup-4,cesit-3,1
27-6-2016,Magaza_1,Beylikdüzü,35000313,M,anagrup1,alt-grup-3,cesit-2,4
28-6-2016,Magaza_1,Beylikdüzü,35000212,K,anagrup,alt-grup-1,cesit-1,1
28-6-2016,Magaza_1,Beylikdüzü,31000368,E,anagrup1,alt-grup-4,cesit-3,1
28-6-2016,Magaza_1,Beylikdüzü,35000313,M,anagrup1,alt-grup-3,cesit-2,2
29-6-2016,Magaza_1,Beylikdüzü,31001045,L,anagrup1,alt-grup-2,cesit-2,1
29-6-2016,Magaza_1,Beylikdüzü,35000313,M,anagrup1,alt-grup-3,cesit-2,5
30-6-2016,Magaza_1,Beylikdüzü,31001045,L,anagrup1,alt-grup-2,cesit-2,6
30-6-2016,Magaza_1,Beylikdüzü,31000368,E,anagrup1,alt-grup-4,cesit-3,1
1-7-2016,Magaza_1,Beylikdüzü,31001045,L,anagrup1,alt-grup-2,cesit-2,3
1-7-2016,Magaza_1,Beylikdüzü,31000368,E,anagrup1,alt-grup-4,cesit-3,5
1-7-2016,Magaza_1,Beylikdüzü,35000313,M,anagrup1,alt-grup-3,cesit-2,2
2-7-2016,Magaza_1,Beylikdüzü,35000212,K,anagrup,alt-grup-1,cesit-1,1
2-7-2016,Magaza_1,Beylikdüzü,31001045,L,anagrup1,alt-grup-2,cesit-2,5
2-7-2016,Magaza_1,Beylikdüzü,35000313,M,anagrup1,alt-grup-3,cesit-2,2
3-7-2016,Magaza_1,Beylikdüzü,31001045,L,anagrup1,alt-grup-2,cesit-2,5
3-7-2016,Magaza_1,Beylikdüzü,35000313,M,anagrup1,alt-grup-3,cesit-2,3
4-7-2016,Magaza_1,Beylikdüzü,35000212,K,anagrup,alt-grup-1,cesit-1,4
4-7-2016,Magaza_1,Beylikdüzü,31001045,L,anagrup1,alt-grup-2,cesit-2,2
4-7-2016,Magaza_1,Beylikdüzü,35000313,M,anagrup1,alt-grup-3,cesit-2,1
5-7-2016,Magaza_1,Beylikdüzü,35000212,K,anagrup,alt-grup-1,cesit-1,1
5-7-2016,Magaza_1,Beylikdüzü,31001045,L,anagrup1,alt-grup-2,cesit-2,2
6-7-2016,Magaza_1,Beylikdüzü,35000212,K,anagrup,alt-grup-1,cesit-1,1
6-7-2016,Magaza_1,Beylikdüzü,31001045,L,anagrup1,alt-grup-2,cesit-2,2
6-7-2016,Magaza_1,Beylikdüzü,35000313,M,anagrup1,alt-grup-3,cesit-2,3
7-7-2016,Magaza_1,Beylikdüzü,35000212,K,anagrup,alt-grup-1,cesit-1,3
7-7-2016,Magaza_1,Beylikdüzü,31001045,L,anagrup1,alt-grup-2,cesit-2,4
7-7-2016,Magaza_1,Beylikdüzü,35000313,M,anagrup1,alt-grup-3,cesit-2,3
8-7-2016,Magaza_1,Beylikdüzü,35000212,K,anagrup,alt-grup-1,cesit-1,2
8-7-2016,Magaza_1,Beylikdüzü,31001045,L,anagrup1,alt-grup-2,cesit-2,2
8-7-2016,Magaza_1,Beylikdüzü,35000313,M,anagrup1,alt-grup-3,cesit-2,2
9-7-2016,Magaza_1,Beylikdüzü,31001045,L,anagrup1,alt-grup-2,cesit-2,3
9-7-2016,Magaza_1,Beylikdüzü,31000368,E,anagrup1,alt-grup-4,cesit-3,2
9-7-2016,Magaza_1,Beylikdüzü,35000313,M,anagrup1,alt-grup-3,cesit-2,1
10-7-2016,Magaza_1,Beylikdüzü,35000212,K,anagrup,alt-grup-1,cesit-1,2
10-7-2016,Magaza_1,Beylikdüzü,31001045,L,anagrup1,alt-grup-2,cesit-2,5
10-7-2016,Magaza_1,Beylikdüzü,31000368,E,anagrup1,alt-grup-4,cesit-3,2
11-7-2016,Magaza_1,Beylikdüzü,35000212,K,anagrup,alt-grup-1,cesit-1,2
11-7-2016,Magaza_1,Beylikdüzü,31001045,L,anagrup1,alt-grup-2,cesit-2,4
11-7-2016,Magaza_1,Beylikdüzü,31000368,E,anagrup1,alt-grup-4,cesit-3,3
11-7-2016,Magaza_1,Beylikdüzü,35000313,M,anagrup1,alt-grup-3,cesit-2,7
12-7-2016,Magaza_1,Beylikdüzü,35000212,K,anagrup,alt-grup-1,cesit-1,2
12-7-2016,Magaza_1,Beylikdüzü,31001045,L,anagrup1,alt-grup-2,cesit-2,8
12-7-2016,Magaza_1,Beylikdüzü,31000368,E,anagrup1,alt-grup-4,cesit-3,1
13-7-2016,Magaza_1,Beylikdüzü,31001045,L,anagrup1,alt-grup-2,cesit-2,3
13-7-2016,Magaza_1,Beylikdüzü,31000368,E,anagrup1,alt-grup-4,cesit-3,2
14-7-2016,Magaza_1,Beylikdüzü,35000212,K,anagrup,alt-grup-1,cesit-1,2
14-7-2016,Magaza_1,Beylikdüzü,31001045,L,anagrup1,alt-grup-2,cesit-2,1
14-7-2016,Magaza_1,Beylikdüzü,31000368,E,anagrup1,alt-grup-4,cesit-3,3
14-7-2016,Magaza_1,Beylikdüzü,35000313,M,anagrup1,alt-grup-3,cesit-2,1
15-7-2016,Magaza_1,Beylikdüzü,35000212,K,anagrup,alt-grup-1,cesit-1,1
15-7-2016,Magaza_1,Beylikdüzü,31001045,L,anagrup1,alt-grup-2,cesit-2,2
15-7-2016,Magaza_1,Beylikdüzü,31000368,E,anagrup1,alt-grup-4,cesit-3,2
15-7-2016,Magaza_1,Beylikdüzü,35000313,M,anagrup1,alt-grup-3,cesit-2,4
16-7-2016,Magaza_1,Beylikdüzü,35000212,K,anagrup,alt-grup-1,cesit-1,3
16-7-2016,Magaza_1,Beylikdüzü,31001045,L,anagrup1,alt-grup-2,cesit-2,8
16-7-2016,Magaza_1,Beylikdüzü,31000368,E,anagrup1,alt-grup-4,cesit-3,3
16-7-2016,Magaza_1,Beylikdüzü,35000313,M,anagrup1,alt-grup-3,cesit-2,3
17-7-2016,Magaza_1,Beylikdüzü,31001045,L,anagrup1,alt-grup-2,cesit-2,6
17-7-2016,Magaza_1,Beylikdüzü,31000368,E,anagrup1,alt-grup-4,cesit-3,1
18-7-2016,Magaza_1,Beylikdüzü,35000212,K,anagrup,alt-grup-1,cesit-1,1
18-7-2016,Magaza_1,Beylikdüzü,31001045,L,anagrup1,alt-grup-2,cesit-2,1
18-7-2016,Magaza_1,Beylikdüzü,35000313,M,anagrup1,alt-grup-3,cesit-2,3
19-7-2016,Magaza_1,Beylikdüzü,35000212,K,anagrup,alt-grup-1,cesit-1,2
19-7-2016,Magaza_1,Beylikdüzü,31001045,L,anagrup1,alt-grup-2,cesit-2,2
20-7-2016,Magaza_1,Beylikdüzü,31001045,L,anagrup1,alt-grup-2,cesit-2,4
21-7-2016,Magaza_1,Beylikdüzü,35000212,K,anagrup,alt-grup-1,cesit-1,1
21-7-2016,Magaza_1,Beylikdüzü,31001045,L,anagrup1,alt-grup-2,cesit-2,5
21-7-2016,Magaza_1,Beylikdüzü,35000313,M,anagrup1,alt-grup-3,cesit-2,1
22-7-2016,Magaza_1,Beylikdüzü,35000212,K,anagrup,alt-grup-1,cesit-1,2
22-7-2016,Magaza_1,Beylikdüzü,31001045,L,anagrup1,alt-grup-2,cesit-2,2
22-7-2016,Magaza_1,Beylikdüzü,35000313,M,anagrup1,alt-grup-3,cesit-2,2
23-7-2016,Magaza_1,Beylikdüzü,31001045,L,anagrup1,alt-grup-2,cesit-2,4
24-7-2016,Magaza_1,Beylikdüzü,35000212,K,anagrup,alt-grup-1,cesit-1,1
24-7-2016,Magaza_1,Beylikdüzü,31001045,L,anagrup1,alt-grup-2,cesit-2,7
24-7-2016,Magaza_1,Beylikdüzü,35000313,M,anagrup1,alt-grup-3,cesit-2,3
25-7-2016,Magaza_1,Beylikdüzü,35000212,K,anagrup,alt-grup-1,cesit-1,2
25-7-2016,Magaza_1,Beylikdüzü,31001045,L,anagrup1,alt-grup-2,cesit-2,4
25-7-2016,Magaza_1,Beylikdüzü,35000313,M,anagrup1,alt-grup-3,cesit-2,3
26-7-2016,Magaza_1,Beylikdüzü,35000212,K,anagrup,alt-grup-1,cesit-1,2
26-7-2016,Magaza_1,Beylikdüzü,31001045,L,anagrup1,alt-grup-2,cesit-2,2
27-7-2016,Magaza_1,Beylikdüzü,31001045,L,anagrup1,alt-grup-2,cesit-2,5
27-7-2016,Magaza_1,Beylikdüzü,35000313,M,anagrup1,alt-grup-3,cesit-2,2
28-7-2016,Magaza_1,Beylikdüzü,35000212,K,anagrup,alt-grup-1,cesit-1,2
28-7-2016,Magaza_1,Beylikdüzü,31001045,L,anagrup1,alt-grup-2,cesit-2,2
29-7-2016,Magaza_1,Beylikdüzü,35000212,K,anagrup,alt-grup-1,cesit-1,1
29-7-2016,Magaza_1,Beylikdüzü,31001045,L,anagrup1,alt-grup-2,cesit-2,3
29-7-2016,Magaza_1,Beylikdüzü,35000313,M,anagrup1,alt-grup-3,cesit-2,1
30-7-2016,Magaza_1,Beylikdüzü,35000212,K,anagrup,alt-grup-1,cesit-1,1
30-7-2016,Magaza_1,Beylikdüzü,31001045,L,anagrup1,alt-grup-2,cesit-2,3
30-7-2016,Magaza_1,Beylikdüzü,35000313,M,anagrup1,alt-grup-3,cesit-2,1
